class;width;height;xmin;ymin;xmax;ymax
A10;2048;1536;593;649;1829;1015
A10;1536;2048;580;891;667;990
A10;2048;1638;840;569;959;862
A10;4096;3163;2803;1334;3529;1521
A10;2560;1536;1459;342;1847;482
A10;1000;1250;535;432;670;487
A10;1000;1250;200;656;367;732
A10;735;413;431;132;534;175
A10;2000;700;71;43;526;231
A10;735;413;229;100;533;184
A10;990;5017;49;1850;952;2295
A10;990;5017;37;3041;950;3342
A10;720;1280;374;582;642;679
A10;4052;2701;1624;437;1903;763
A10;2000;700;110;0;2000;467
A10;4096;2926;2207;931;2414;1222
A10;4096;2725;2579;216;2778;429
A10;825;733;0;250;356;402
A10;1000;1250;572;323;692;374
A10;990;5017;80;29;917;471
A10;990;5017;26;961;966;1381
A10;1000;1250;359;378;486;429
A10;1000;1250;508;99;598;129
A10;1000;1250;615;223;720;262
A10;1000;1250;653;108;747;140
A10;2048;1365;824;706;936;741
A10;1800;1200;306;58;1286;1085
A10;640;434;251;209;332;254
A10;1000;1250;415;278;527;323
A10;2815;1845;996;786;1592;954
A10;1000;1250;470;181;568;217
A10;3591;1945;2148;57;2208;117
A10;1920;1280;1056;695;1886;928
A10;1000;1250;637;154;730;188
A10;2671;4022;1514;1046;1667;1228
A10;990;5017;80;4407;917;4848
A10;1000;1250;496;133;587;169
A10;1999;1175;301;515;1680;825
A10;1999;1175;414;569;960;693
A10;2974;1416;994;232;1182;387
A10;825;733;541;224;581;242
A10;1000;1250;482;583;638;651
A10;3591;1945;2587;469;2648;538
A10;1000;562;154;147;669;290
A10;675;1200;358;807;400;832
A10;640;434;301;243;391;291
A10;2485;1635;1496;751;1653;872
A10;1000;1250;292;494;434;557
A10;2485;1635;1794;562;1949;680
A10;1829;2560;829;1076;1144;1629
A10;1000;1250;329;1002;544;1109
A10;1000;1250;431;726;607;805
A10;1200;675;560;308;647;329
A10;1000;1250;85;862;279;958
A10;675;1200;352;521;456;617
A10;1800;1200;32;60;1800;766
A10;1112;1587;99;1285;498;1479
A10;2974;1416;1938;740;2093;872
A10;2048;1536;24;676;1241;1012
A10;3712;2496;108;657;3639;1525
A10;1200;800;403;577;768;678
A10;1200;800;710;584;1018;669
A10;1000;667;734;174;829;209
A10;4096;2560;0;0;4096;2560
A10;1440;960;843;339;933;391
A10;4032;3024;2549;1478;2810;1713
A10;3547;2360;0;1056;1986;2015
A10;1920;1371;555;239;725;442
A10;1920;1371;665;274;1199;721
A10;1920;1371;547;163;708;346
A10;900;1200;529;493;589;549
A10;7295;2202;3833;1588;4718;1810
A10;7295;2202;2237;1587;3135;1805
A10;611;344;175;0;448;343
A10;1440;960;790;401;900;425
A10;1440;960;629;408;746;435
A10;3690;3230;923;547;2292;2013
A10;3690;3230;1898;1736;2741;2665
A10;1920;2400;799;373;910;617
A10;1200;800;8;581;500;699
A10;1280;853;229;441;1054;638
A10;2048;1362;553;236;714;313
A10;1000;667;411;304;502;351
A10;600;450;0;0;600;450
A10;3200;1800;1114;185;1616;959
A10;4096;2734;633;0;1528;1046
A10;2048;1362;629;596;1673;901
A10;1162;1781;0;239;1162;1715
A10;2048;1936;1136;693;2048;1192
A10;2048;1936;0;615;943;1189
A10;1000;714;586;376;782;415
A10;1088;725;764;333;912;491
A10;1088;725;108;464;304;702
A10;1440;2560;691;131;1082;517
A10;2394;1663;1230;1256;1355;1387
A10;2394;1663;1299;1456;1427;1587
A10;1280;853;883;518;1235;604
A10;1280;853;93;463;743;633
A10;2518;1696;657;1070;844;1219
A10;1200;900;542;450;854;728
A10;4096;2730;2603;706;2959;1295
A10;1000;667;399;346;492;382
A10;1300;731;32;317;1165;677
A10;1000;667;434;259;831;393
A10;1280;853;0;458;552;629
A10;1280;853;827;494;1036;597
A10;3600;197;3507;77;3600;172
A10;1920;1080;499;300;785;493
A10;885;549;315;208;868;463
A10;1080;718;638;140;996;552
A10;1920;1200;704;269;1306;565
A10;1000;667;516;391;778;515
A10;1440;960;1015;254;1148;300
A10;1440;960;547;245;680;289
A10;1440;960;763;252;891;297
A10;1440;960;291;239;439;284
A10;2048;1366;1175;324;1364;520
A10;1800;2700;284;787;1538;2064
A10;680;383;0;0;680;287
A10;3577;1944;3065;472;3145;559
A10;3577;1944;3022;374;3103;462
A10;3577;1944;2909;167;2991;252
A10;3577;1944;2961;265;3041;350
A10;640;426;248;146;379;230
A10;1200;900;522;490;673;584
A10;3600;197;3391;75;3492;172
A10;1280;853;801;458;1280;626
A10;3600;197;3277;76;3380;174
A10;3600;197;3038;73;3148;175
A10;1280;853;321;492;497;596
A10;2394;1603;2174;358;2331;474
A10;4928;3280;0;0;4928;3125
A10;3600;197;270;22;439;151
A10;3600;197;471;29;637;156
A10;3600;197;660;34;820;160
A10;2048;1365;568;485;1486;1365
A10;3600;197;855;38;1013;162
A10;3600;197;1039;41;1191;163
A10;3600;197;1398;52;1543;168
A10;3600;197;1567;53;1708;167
A10;4096;2925;1197;1570;2699;1939
A10;3600;197;1738;54;1875;169
A10;3600;197;2057;60;2188;172
A10;3600;197;2211;62;2340;173
A10;3600;197;2361;65;2485;175
A10;3600;197;2504;66;2625;174
A10;3600;197;2645;69;2765;175
A10;3600;197;2784;71;2901;176
A10;3600;197;3160;74;3267;174
A10;1920;1080;658;512;1220;694
A10;1440;1057;1119;189;1184;228
A10;436;639;218;427;261;450
A10;1549;2149;227;128;905;479
A10;1600;1065;138;471;454;546
A10;1600;1065;540;540;872;628
A10;1600;1065;941;558;1303;659
A10;1600;1065;1010;677;1467;812
A10;2048;1152;1103;234;1228;268
A10;2048;1152;0;852;454;937
A10;1000;563;79;251;994;516
A10;1308;872;682;564;813;605
A10;1308;872;499;565;629;603
A10;2048;1536;1030;712;1091;764
A10;2048;1536;560;867;761;1039
A10;1366;970;1079;298;1303;349
A10;1600;1035;336;130;787;570
A10;1600;1035;816;708;1496;902
A10;1600;1035;796;539;1374;699
A10;1600;1035;860;416;1371;540
A10;1600;1074;449;490;1275;661
A10;2048;1536;1034;697;1114;806
A10;4096;2926;2065;1857;3886;2402
A10;4096;2731;1882;1253;2674;1462
A10;4096;2926;0;1971;1183;2414
A10;940;643;118;205;739;365
A10;2048;1536;1337;419;1384;452
A10;4928;3280;0;0;4928;3161
A10;500;529;336;43;452;143
A10;1440;960;865;245;993;367
A10;1280;852;371;171;902;771
A10;3826;1788;1683;648;1757;714
A10;2048;1151;0;0;1001;795
A10;713;720;385;9;700;169
A10;3580;1942;829;585;872;626
A10;3580;1942;733;476;778;517
A10;1536;864;351;83;424;110
